netType_num,carrier_num,longitude,latitude,speed,signal,synHour,appname_num,destIp_longitude,destIp_latitude,RTT_sum,RTT_median,RTT_average,RTT_weight_stretch,RTT_label
2,332,-10,3,-1,4,13,0,0,0,234,261,274.9401709,0.005290266,1
2,6,-12,4,-1,4,7,88,-7,4,301,146,191.1495017,0.005371247,1
2,6,-12,4,-1,4,8,88,-12,4,233,92,96.65236052,0.003443076,0
2,6,-12,4,-1,4,8,88,-12,4,233,92,96.65236052,0.003443076,0
2,36,-9,4,-1,4,3,98,-8,4,230,34,38.75217391,0.00668902,0
2,36,-9,4,-1,4,3,98,-8,4,230,34,38.75217391,0.00668902,0
2,36,-9,4,-1,4,3,98,-8,4,230,34,38.75217391,0.00668902,0
2,89,-12,3,-1,4,21,0,0,0,225,36,63.39111111,0.001266854,0
2,36,-9,4,-1,4,5,0,-8,4,225,45,97.55555556,0.000636474,0
2,25,-9,3,-1,4,16,492,-8,4,224,80,121.7723214,0.00028982,0
2,36,-9,4,-1,4,5,0,-8,4,225,45,97.55555556,0.000636474,0
2,89,-12,3,-1,4,21,0,0,0,225,36,63.39111111,0.001266854,0
2,36,-9,4,-1,4,19,16,-8,4,223,60,207.9461883,0.002294218,1
2,6,-12,4,-1,4,2,176,11,2,222,290,375.8873874,0.003902773,1
2,25,-12,5,-1,4,19,0,0,0,221,57,62.31674208,0.003335379,0
2,6,-12,4,-1,4,19,198,-12,4,219,78,98.63013699,0.000703823,0
2,36,-8,4,-1,4,14,187,0,5,219,66,80.19634703,0.002143783,0
2,36,-9,4,-1,4,2,16,-12,4,218,57.5,110.8899083,0.000563591,0
2,68,-12,3,-1,4,7,0,-12,4,217,52,85.92626728,0.000307831,0
2,6,-12,4,-1,4,19,198,-12,4,219,78,98.63013699,0.000703823,0
2,6,-12,4,-1,4,10,198,-8,4,217,124,130.4884793,0.003827623,0
2,6,-12,4,-1,4,19,198,-12,4,219,78,98.63013699,0.000703823,0
2,6,-12,4,-1,4,15,70,12,4,214,269.5,320.588785,0.005593699,1
2,36,-9,5,-1,4,17,0,-8,4,214,42,55.21962617,0.001890686,0
2,36,-9,5,-1,4,17,0,-8,4,214,42,55.21962617,0.001890686,0
2,6,-12,4,-1,4,19,176,-7,4,213,81,92.88262911,0.001358955,0
2,6,-12,4,-1,4,15,70,12,4,214,269.5,320.588785,0.005593699,1
2,68,-12,4,-1,4,7,0,-12,4,211,49,325.2464455,0.000706152,1
2,36,-12,4,-1,4,7,0,-8,4,211,37,55.492891,0.00195557,0
2,36,-9,4,-1,4,15,16,-12,4,211,50,99.8056872,0.000812627,0
2,36,-8,4,-1,4,21,0,-8,4,210,62,263.9285714,0.001209615,1
2,6,-12,4,-1,4,18,70,12,4,209,251,296.4449761,0.007518272,1
2,68,-12,3,-1,4,2,0,-12,4,208,80,112.2067308,0.000279104,0
2,36,-9,4,-1,4,23,98,-12,3,208,95,156.0625,0.000515403,0
2,68,-12,3,-1,4,2,0,-12,4,208,80,112.2067308,0.000279104,0
2,6,-12,4,-1,4,3,70,12,4,206,266,337.1456311,0.004893781,1
2,36,-7,4,-1,4,21,0,-8,4,205,47,75.13658537,0.000921604,0
2,25,-8,4,-1,0,2,0,0,0,203,46,48.2364532,0.008728359,0
2,6,-12,4,-1,4,20,22,11,2,195,346,660.2923077,0.00121111,1
2,68,-12,4,-1,4,10,0,-12,4,203,37,109.3743842,0.000394262,0
2,68,-12,4,-1,4,10,0,-12,4,203,37,109.3743842,0.000394262,0
2,6,-12,4,-1,4,12,198,-8,4,201,124,128.318408,0.004800152,0
2,68,-12,4,-1,4,20,0,-12,4,201,75,2455.427861,0.00011459,1
2,6,-12,4,-1,4,11,70,12,4,197,266,400.6852792,0.002762065,1
2,6,-12,4,-1,4,23,70,12,4,196,245,313.5765306,0.003771157,1
2,6,-12,4,-1,4,23,8,12,2,196,182.5,210.6887755,0.012763378,1
2,6,-12,4,-1,4,14,22,11,2,196,385,986.6020408,0.000917932,1
2,6,-12,4,-1,4,11,70,12,4,197,266,400.6852792,0.002762065,1
2,36,-9,4,-1,4,1,16,-12,4,191,50,139.6439791,0.000387977,0
2,36,-9,4,-1,4,4,98,-12,5,194,38,44.77835052,0.004918862,0
2,89,-12,3,-1,4,2,0,0,0,192,33,53.30208333,0.001669955,0
2,36,-9,4,-1,4,1,16,-12,4,191,50,139.6439791,0.000387977,0
2,68,-10,4,-1,4,0,46,-12,5,191,84,80.36649215,0.005477584,0
2,6,-12,4,-1,4,23,198,-8,4,190,128,132.6210526,0.004170762,0
2,6,-12,4,-1,4,4,22,11,2,190,290,613.2052632,0.001317998,1
2,6,-12,4,-1,4,4,22,11,2,190,290,613.2052632,0.001317998,1
2,36,-9,4,-1,4,14,381,-9,4,189,86,177.3650794,0.002301415,1
2,6,-12,4,-1,4,16,198,-8,4,189,124,131.4920635,0.003196045,0
2,332,-7,4,-1,4,19,0,0,0,188,75,88.01595745,0.001896789,0
2,96,-10,3,-1,3,16,0,14,4,188,73,90.03191489,0.00251102,0
