carrier_num,longitude,latitude,signal,synHour,appname_num,destIp_longitude,destIp_latitude,RTT_sum,RTT_median,RTT_average,RTT_std,RTT_stretch_weight,RTT_label
36.0,-9.0,4.0,4.0,15.0,98.0,-12.0,3.0,155,41.0,60.877419354838707,45.86675449095803,0.002607389380248779,0
6.0,-12.0,4.0,4.0,10.0,39.0,-9.0,3.0,6,95.5,94.833333333333329,18.013112507898857,0.006639190673669525,0
6.0,-12.0,4.0,4.0,19.0,159.0,12.0,4.0,35,252.0,400.65714285714284,525.8613039770165,0.001901642110642365,1
36.0,-9.0,4.0,4.0,1.0,16.0,-8.0,3.0,11,51.0,59.18181818181818,27.26575668495752,0.004386178969761767,0
6.0,-12.0,4.0,4.0,10.0,70.0,14.0,4.0,40,191.0,218.40000000000001,75.37167903131785,0.01326758290185479,1
6.0,-12.0,4.0,4.0,5.0,8.0,11.0,2.0,28,210.5,248.07142857142858,82.866471149774,0.012067606911757909,1
6.0,-12.0,4.0,4.0,22.0,647.0,12.0,2.0,12,196.5,235.16666666666666,128.53134075218992,0.007780203599743139,1
96.0,-10.0,3.0,4.0,15.0,8.0,-12.0,4.0,23,78.0,99.913043478260875,57.596733786831635,0.0020763762231521617,0
36.0,-12.0,3.0,2.0,3.0,34.0,-0.0,-0.0,54,116.0,498.83333333333331,842.6092137147784,0.0011867897759998837,1
6.0,-12.0,4.0,4.0,11.0,70.0,-7.0,4.0,6,116.5,111.83333333333333,25.294377943637112,0.004728026474210482,0
68.0,-12.0,4.0,4.0,1.0,154.0,-12.0,5.0,11,73.0,167.90909090909091,293.1553899293481,0.0034111602049718584,1
85.0,-12.0,4.0,4.0,7.0,14.0,-8.0,4.0,15,125.0,125.46666666666667,7.022503510540635,0.017029893738991525,0
68.0,-10.0,4.0,4.0,14.0,9.0,-12.0,4.0,81,59.0,58.222222222222221,30.370957537232755,0.003937725322607613,0
36.0,-8.0,3.0,4.0,0.0,16.0,-7.0,4.0,11,51.0,59.363636363636367,28.974197697803557,0.004127551341146123,0
6.0,-12.0,4.0,4.0,11.0,295.0,11.0,2.0,17,252.0,249.0,41.16966330285673,0.024289729858699396,1
89.0,-12.0,3.0,4.0,10.0,8.0,-12.0,4.0,17,34.0,34.058823529411768,7.825077246266302,0.01528323424836029,0
70.0,-12.0,3.0,4.0,18.0,645.0,-8.0,4.0,24,56.0,82.958333333333329,51.877643841596694,0.0023052798799298967,0
6.0,-12.0,4.0,4.0,20.0,1689.0,-11.0,3.0,5,169.0,157.40000000000001,84.29139932401169,0.0014187982347581484,0
31.0,-10.0,3.0,2.0,21.0,47.0,-12.0,5.0,9,93.0,86.555555555555557,20.88652468890521,0.005725820372104735,0
25.0,-15.0,6.0,4.0,3.0,16.0,-12.0,4.0,5,96.0,100.8,19.019989484749985,0.006287726324038711,0
6.0,-12.0,4.0,4.0,14.0,280.0,-12.0,5.0,6,63.0,66.666666666666671,8.863157200205555,0.013493215325508203,0
36.0,-8.0,4.0,4.0,5.0,5.0,-8.0,4.0,6,48.0,47.333333333333336,4.109609335312651,0.02910069517766063,0
36.0,-9.0,4.0,4.0,15.0,5.0,-12.0,3.0,10,54.5,56.899999999999999,9.332202312423366,0.0128150338540128,0
25.0,-9.0,4.0,1.0,21.0,195.0,-8.0,4.0,30,50.5,54.700000000000003,11.696580696938742,0.010224568330255868,0
70.0,-12.0,4.0,4.0,4.0,143.0,-12.0,4.0,5,43.0,47.0,9.654014708917737,0.012387850254229506,0
6.0,-12.0,4.0,4.0,3.0,467.0,-7.0,4.0,9,180.0,212.0,102.98327803850272,0.009710314325264792,1
6.0,-12.0,4.0,4.0,19.0,1458.0,1.0,5.0,6,234.5,233.0,18.275666882497067,0.054717565516458275,1
6.0,-12.0,4.0,4.0,19.0,748.0,-12.0,3.0,11,198.0,911.72727272727275,1135.8882860330532,0.0008803682653444505,1
96.0,-10.0,3.0,4.0,18.0,356.0,-7.0,4.0,8,95.0,97.5,12.186057606953941,0.009813878485028401,0
89.0,-12.0,3.0,4.0,19.0,0.0,-0.0,-0.0,29,33.0,53.724137931034484,43.67505131096537,0.0027382334989077897,0
70.0,-7.0,4.0,4.0,21.0,996.0,-8.0,4.0,6,44.5,47.5,8.99536917900909,0.013294894982773347,0
25.0,-10.0,3.0,1.0,2.0,0.0,-8.0,4.0,23,52.0,70.043478260869563,64.49501380178941,0.0018542904562163824,0
6.0,-12.0,4.0,4.0,22.0,1880.0,1.0,5.0,7,227.0,227.28571428571428,16.368212099888574,0.06109402749044335,1
36.0,-9.0,4.0,4.0,22.0,47.0,-10.0,4.0,13,70.0,166.23076923076923,246.71414597157818,0.004053273865030834,1
332.0,-10.0,3.0,4.0,23.0,16.0,-12.0,5.0,6,65.0,64.0,6.377042156569663,0.018753598553993743,0
6.0,-12.0,4.0,4.0,23.0,39.0,-9.0,4.0,8,123.5,143.125,62.079460170011146,0.0019264421475103898,0
6.0,-12.0,4.0,4.0,9.0,52.0,-12.0,3.0,46,80.5,81.608695652173907,11.666522638412433,0.010250911284605023,0
25.0,-10.0,3.0,1.0,2.0,8.0,-12.0,4.0,7,33.0,39.857142857142854,16.99099401303586,0.007038581055025269,0
6.0,-12.0,4.0,4.0,6.0,14.0,11.0,2.0,37,195.0,232.67567567567568,85.94343018585558,0.011635560715199127,1
89.0,-9.0,4.0,4.0,23.0,86.0,-1.0,5.0,17,145.0,159.1764705882353,48.20939046202226,0.0024806886670847438,0
36.0,-8.0,4.0,4.0,1.0,141.0,-9.0,4.0,5,38.0,35.799999999999997,5.3814496188294845,0.02222309917159727,0
6.0,-12.0,4.0,4.0,3.0,14.0,11.0,2.0,39,214.0,258.4871794871795,178.18830025693316,0.00561204073756852,1
